location_id,store_code,title,city,tier,state,photos,videos,services_total,services_sti,services_sti_list,products,reviews_total,reviews_sti,total_inventory,total_sti
2530678908092947498,02696960434849614515,"Allo Health, Arekere - Best Sexologist in Bangalore | Sex Doctor | Sex Therapist",Bengaluru,T1,KA,44,1,89,31,Herpes Treatment | Chlamydia Treatment | STD Symptom Relief Plans | STI Partner Notification Support | Walk-In STD Treatment | Herpes Specialist Consultation | Chlamydia and Gonorrhea Treatment | HIV ,0,326,10,460,41
7896982343720743767,00706008082143913112,"Allo Health, Gandhinagar - Best Sexologist in Gandhinagar | Sex Doctor | Sex The",Gandhinagar,T2,GJ,36,2,89,31,Herpes Treatment | Chlamydia Treatment | STD Symptom Relief Plans | STI Partner Notification Support | Walk-In STD Treatment | Herpes Specialist Consultation | Chlamydia and Gonorrhea Treatment | HIV ,0,5,1,132,32
11132752791255161716,14246031395413580947,"Allo Health, Borivali - Best Sexologist in Mumbai | Sex Doctor | Sex Therapist |",Mumbai,T1,MH,31,2,106,34,Herpes Treatment | STD Symptom Relief Plans | Chlamydia Treatment | STI Partner Notification Support | Walk-In STD Treatment | Chlamydia and Gonorrhea Treatment | Herpes Specialist Consultation | STI ,0,345,11,484,45
9104338546064126214,12902479062234361627,"Allo Health, Nallagandla - Best Sexologist in Hyderabad and Sex Doctor",Hyderabad,T1,TS,28,0,0,0,,0,36,10,64,10
16294135629270090282,05839561381213993809,"Allo Health, Wakad - Best Sexologist in Pune | Sex Doctor | Sex Therapist | Sex ",Pune,T1,MH,25,1,80,31,Herpes Treatment | Chlamydia Treatment | STI Partner Notification Support | STD Symptom Relief Plans | Walk-In STD Treatment | Herpes Specialist Consultation | Chlamydia and Gonorrhea Treatment | HIV ,0,288,11,394,42
18365615562122828264,12010769008727874397,"Allo Health, Vijayanagar - Best Sexologist in Bangalore | Sex Doctor | Sex Thera",Bengaluru,T1,KA,39,0,89,31,Herpes Treatment | Chlamydia Treatment | STD Symptom Relief Plans | STI Partner Notification Support | Walk-In STD Treatment | Herpes Specialist Consultation | Chlamydia and Gonorrhea Treatment | HIV ,0,463,7,591,38
8580494001500529922,06853812437302068172,"Allo Health, Mangaluru - Best Sexologist in Mangalore | Sex Doctor | Sex Therapi",Mangaluru,T2,KA,32,2,89,31,Herpes Treatment | Chlamydia Treatment | STD Symptom Relief Plans | STI Partner Notification Support | Walk-In STD Treatment | Herpes Specialist Consultation | Chlamydia and Gonorrhea Treatment | HIV ,0,152,11,275,42
14107250459846747285,17065025647806636147,"Allo Health, Sainikpuri - Best Sexologist in Hyderabad | Sex Doctor | Sex Therap",Hyderabad,T1,TS,40,4,90,31,Herpes Treatment | Chlamydia Treatment | STD Symptom Relief Plans | STI Partner Notification Support | Walk-In STD Treatment | Herpes Specialist Consultation | Chlamydia and Gonorrhea Treatment | HIV ,0,310,7,444,38
1675586020252129806,04502007916710493791,"Allo Health, Sushant Lok - Best Sexologist & STI/STD Specialist in Gurugram",गुरुग्राम,?,Delhi,0,0,0,0,,0,0,0,0,0
7318295908068515497,00583984590134158487,Allo Health - India's largest chain of Sexual Health Clinics,Mumbai,?,,0,0,0,0,,0,0,0,0,0
