Available Hours FU,,,0,0,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%FU,,#DIV/0!,#DIV/0!,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Available Hours SC,,0.0,0,0,#DIV/0!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fb,,306,307,-32,-31,275,301,371,264,288,263,342,312,356,305,311,339,287,0,0,"1,049","1,033","1,208","1,387",232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Google - Search,,132,#N/A,#N/A,8,140,135,145,122,127,130,110,120,97,108,124,120,103,0,0,588,455,519,497,78,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Google (ex GMB)-Brand,#VALUE!,#VALUE!,39,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Google (ex GMB)-Non Brand,#VALUE!,#VALUE!,210,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organic,,84,186,-93,9,93,101,89,79,67,79,105,86,68,62,84,70,65,0,0,399,309,353,299,54,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wa,,,,,,11,16,13,10,6,5,14,12,11,10,11,8,10,0,0,43,42,38,43,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
organic-wa,`,,,,,82,85,76,69,61,74,91,74,57,52,73,62,55,0,0,356,267,315,256,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JustDial,,2,36,-34,0,2,2,3,2,1,0,1,2,1,0,0,1,1,0,0,9,7,4,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Bookings this week,,506,963,-507,-50,456,491,604,460,468,447,526,456,486,470,458,485,438,0,0,1797,1774,2022,2085,364,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMB+GS,,149,512,-357,7,155,135,159,142,158,152,128,122,117,118,117,115,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Google (GMB),,45,397,-351,1,46,34,40,48,58,40,40,31,42,37,30,23,27,0,0,191,148,183,146,19,0,4.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Google Listing,,7,43,-40,,3,4,5,8,9,7,8,5,2,6,5,4,5,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walk In,,0,54,-54,,0,0,0,0,0,0,1,0,0,1,0,1,1,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC-Inbound,,31,325,-289,,36,22,34,26,42,26,24,21,28,23,18,17,19,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
2248906252,,,,,,1,1,1,0,2,0,0,0,0,0,1,0,1,0,0,3,3,2,2,0,,50.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,
8071175797,,,,,,7,2,5,3,3,3,5,6,3,4,2,4,4,0,0,16,16,17,15,3,,-5.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,
8046810621,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
8046809944,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Practo,,8,228,-223,-3,5,9,8,6,10,11,4,6,3,15,4,3,1,0,0,32,25,32,27,1,0,0.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,
